Product Name,Brand,Ingredients,Health Risk Numerical Data,Health Risk Level,Long-Term Health Effects,Skin Type Numerical Data,Skin Type,Age Group Numerical Data,Age Group,Price,Rupees,Rating,Usage Instructions
Volume Boost Hair Balm,Brand MMMM,"Keratin, Peptides",204,Moderate,Boosts volume and thickness,17,"Fine, Limp",101,Adult,$20 ,1700,4.6,"Apply to clean, damp hair, focusing on roots, leave in or rinse as desired"
Color Care Hair Cream,Brand NNNN,"UV Filters, Shea Butter",204,Moderate,Protects color and nourishes hair,7,Color-Treated,101,Adult,$24 ,2040,4.7,"Apply to clean, damp hair, leave on for 5 minutes, rinse thoroughly"
Repair & Renew Hair Mask,Brand OOOO,"Argan Oil, Keratin Protein",204,Moderate,Repairs and renews damaged hair,10,"Damaged, Brittle",101,Adult,$28 ,2380,4.6,"Apply to clean, damp hair, leave on for 10-15 minutes, rinse thoroughly"
Smooth & Soften Conditioner,Brand PPPP,"Silk Proteins, Coconut Milk",204,Moderate,Smooths and softens hair,20,"Frizzy, Dry",101,Adult,$18 ,1530,4.7,"Apply to hair after shampooing, leave on for 2-3 minutes, rinse thoroughly"
Frizz Control Hair Serum,Brand QQQQ,"Marula Oil, Keratin",204,Moderate,Controls frizz and adds shine,22,"Frizzy, Unruly",101,Adult,$22 ,1870,4.6,"Apply to damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Replenish & Rejuvenate Serum,Brand RRRR,"Jojoba Oil, Vitamin E",204,Moderate,Replenishes and rejuvenates hair,15,"Dry, Normal",101,Adult,$20 ,1700,4.8,"Apply to damp hair, focusing on ends, leave in or rinse as desired"
Volume Plump Hair Serum,Brand SSSS,"Biotin, Peptides",204,Moderate,Plumps up hair for added volume,18,"Fine, Thin",101,Adult,$24 ,2040,4.7,"Apply to clean, damp hair, focusing on roots, leave in or rinse as desired"
Hydrate & Repair Serum,Brand TTTT,"Argan Oil, Peptides",204,Moderate,Hydrates and repairs damaged hair,6,All,101,Adult,$25 ,2125,4.6,"Apply to damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Curl Define Hair Serum,Brand UUUU,"Shea Butter, Coconut Oil",204,Moderate,Defines and enhances natural curls,9,"Curly, Wavy",101,Adult,$22 ,1870,4.7,"Apply to damp hair, scrunching upwards, leave in or rinse as desired"
Color Enhance Hair Serum,Brand VVVV,"UV Filters, Keratin Protein",204,Moderate,Enhances and prolongs hair color,7,Color-Treated,101,Adult,$20 ,1700,4.6,"Apply to clean, damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Repair & Restore Hair Serum,Brand WWWW,"Ginseng Extract, Vitamin C",204,Moderate,Repairs and restores damaged hair,10,"Damaged, Brittle",101,Adult,$28 ,2380,4.7,"Apply to clean, damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Moisture Infuse Hair Serum,Brand XXXX,"Aloe Vera, Argan Oil",204,Moderate,Infuses moisture and nourishment,13,"Dry, Dehydrated",101,Adult,$22 ,1870,4.6,"Apply to damp hair, focusing on ends, leave in or rinse as desired"
Shine Boost Hair Serum,Brand YYYY,"Silk Proteins, Vitamin E",204,Moderate,Boosts shine and radiance,6,All,101,Adult,$20 ,1700,4.8,"Apply to damp or dry hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Strength & Repair Hair Serum,Brand ZZZZ,"Keratin, Bamboo Extract",204,Moderate,Strengthens and repairs hair,6,All,101,Adult,$24 ,2040,4.7,"Apply to clean, damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Frizz Control Hair Serum,Brand AAAAA,"Marula Oil, Silk Proteins",204,Moderate,Controls frizz and adds shine,21,"Frizzy, Unmanageable",101,Adult,$22 ,1870,4.6,"Apply to damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Replenish & Restore Serum,Brand BBBBB,"Jojoba Oil, Vitamin E",204,Moderate,Replenishes and restores hair,15,"Dry, Normal",101,Adult,$20 ,1700,4.7,"Apply to damp hair, focusing on ends"
Volume Boost Hair Serum,Brand CCCCC,"Biotin, Peptides",204,Moderate,Boosts volume and thickness,18,"Fine, Thin",101,Adult,$22 ,1870,4.6,"Apply to clean, damp hair, focusing on roots, leave in or rinse as desired"
Hydrate & Repair Hair Serum,Brand DDDDD,"Argan Oil, Peptides",204,Moderate,Hydrates and repairs damaged hair,6,All,101,Adult,$25 ,2125,4.7,"Apply to damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Curl Define Hair Serum,Brand EEEEE,"Shea Butter, Coconut Oil",204,Moderate,Defines and enhances natural curls,9,"Curly, Wavy",101,Adult,$22 ,1870,4.6,"Apply to damp hair, scrunching upwards, leave in or rinse as desired"
Color Enhance Hair Serum,Brand FFFFF,"UV Filters, Keratin Protein",204,Moderate,Enhances and prolongs hair color,7,Color-Treated,101,Adult,$20 ,1700,4.8,"Apply to clean, damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Repair & Restore Hair Serum,Brand GGGGG,"Ginseng Extract, Vitamin C",203,Medium,Repairs and restores damaged hair,10,"Damaged, Brittle",101,Adult,$28 ,2380,4.7,"Apply to clean, damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Moisture Infuse Hair Serum,Brand HHHHH,"Aloe Vera, Argan Oil",203,Medium,Infuses moisture and nourishment,13,"Dry, Dehydrated",101,Adult,$22 ,1870,4.6,"Apply to damp hair, focusing on ends, leave in or rinse as desired"
Shine Boost Hair Serum,Brand IIIII,"Silk Proteins, Vitamin E",203,Medium,Boosts shine and radiance,6,All,101,Adult,$20 ,1700,4.8,"Apply to damp or dry hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Strength & Repair Hair Serum,Brand JJJJJ,"Keratin, Bamboo Extract",203,Medium,Strengthens and repairs hair,6,All,101,Adult,$24 ,2040,4.7,"Apply to clean, damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Frizz Control Hair Serum,Brand KKKKK,"Marula Oil, Silk Proteins",203,Medium,Controls frizz and adds shine,21,"Frizzy, Unmanageable",101,Adult,$22 ,1870,4.6,"Apply to damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Replenish & Restore Serum,Brand LLLLL,"Jojoba Oil, Vitamin E",203,Medium,Replenishes and restores hair,15,"Dry, Normal",101,Adult,$20 ,1700,4.7,"Apply to damp hair, focusing on ends, leave in or rinse as desired"
Volume Boost Hair Serum,Brand MMMMM,"Biotin, Peptides",203,Medium,Boosts volume and thickness,18,"Fine, Thin",101,Adult,$22 ,1870,4.6,"Apply to clean, damp hair, focusing on roots, leave in or rinse as desired"
Hydrate & Repair Hair Serum,Brand NNNNN,"Argan Oil, Peptides",203,Medium,Hydrates and repairs damaged hair,6,All,101,Adult,$25 ,2125,4.7,"Apply to damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Curl Define Hair Serum,Brand OOOOO,"Shea Butter, Coconut Oil",203,Medium,Defines and enhances natural curls,9,"Curly, Wavy",101,Adult,$22 ,1870,4.6,"Apply to damp hair, scrunching upwards, leave in or rinse as desired"
Color Enhance Hair Serum,Brand PPPPP,"UV Filters, Keratin Protein",203,Medium,Enhances and prolongs hair color,7,Color-Treated,101,Adult,$20 ,1700,4.8,"Apply to clean, damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Repair & Restore Hair Serum,Brand QQQQQ,"Ginseng Extract, Vitamin C",203,Medium,Repairs and restores damaged hair,10,"Damaged, Brittle",101,Adult,$28 ,2380,4.7,"Apply to clean, damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Moisture Infuse Hair Serum,Brand RRRRR,"Aloe Vera, Argan Oil",203,Medium,Infuses moisture and nourishment,13,"Dry, Dehydrated",101,Adult,$22 ,1870,4.6,"Apply to damp hair, focusing on ends, leave in or rinse as desired"
Shine Boost Hair Serum,Brand SSSSS,"Silk Proteins, Vitamin E",203,Medium,Boosts shine and radiance,6,All,101,Adult,$20 ,1700,4.8,"Apply to damp or dry hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Strength & Repair Hair Serum,Brand TTTTT,"Keratin, Bamboo Extract",203,Medium,Strengthens and repairs hair,6,All,101,Adult,$24 ,2040,4.7,"Apply to clean, damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Frizz Control Hair Serum,Brand UUUUU,"Marula Oil, Silk Proteins",203,Medium,Controls frizz and adds shine,21,"Frizzy, Unmanageable",101,Adult,$22 ,1870,4.6,"Apply to damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Replenish & Restore Serum,Brand VVVVV,"Jojoba Oil, Vitamin E",203,Medium,Replenishes and restores hair,15,"Dry, Normal",101,Adult,$20 ,1700,4.7,"Apply to damp hair, focusing on ends, leave in or rinse as desired"
Volume Boost Hair Serum,Brand WWWWW,"Biotin, Peptides",203,Medium,Boosts volume and thickness,18,"Fine, Thin",101,Adult,$22 ,1870,4.6,"Apply to clean, damp hair, focusing on roots, leave in or rinse as desired"
Hydrate & Repair Hair Serum,Brand XXXXX,"Argan Oil, Peptides",203,Medium,Hydrates and repairs damaged hair,6,All,101,Adult,$25 ,2125,4.7,"Apply to damp hair, focusing on mid-lengths to ends, leave in or rinse as desired"
Floral Fantasy Perfume,Brand A,"Rose Extract, Jasmine Oil, Musk",203,Medium,Enhances mood and boosts confidence,6,All,101,Adult,$50 ,4250,4.6,"Apply to pulse points (wrists, neck) and behind ears"
Citrus Burst Perfume,Brand B,"Lemon, Orange, Grapefruit",203,Medium,Uplifts and refreshes,6,All,101,Adult,$45 ,3825,4.5,Spritz on pulse points and clothing for a refreshing scent
Ocean Breeze Perfume,Brand C,"Sea Salt, Aquatic Notes, Driftwood",203,Medium,Invokes a sense of freshness,6,All,101,Adult,$55 ,4675,4.7,Apply to pulse points for a refreshing and revitalizing fragrance
Vanilla Dream Perfume,Brand D,"Vanilla Bean, Amber, Tonka Bean",203,Medium,Soothes and comforts,15,"Dry, Normal",101,Adult,$60 ,5100,4.8,Spritz on wrists and pulse points for a warm and inviting scent
Lavender Mist Perfume,Brand E,"Lavender, Bergamot, Cedarwood",203,Medium,Promotes relaxation and reduces stress,6,All,101,Adult,$55 ,4675,4.6,Apply to pulse points before bedtime for a calming effect
Exotic Spice Perfume,Brand F,"Patchouli, Sandalwood, Cinnamon",203,Medium,Adds depth and mystery,6,All,101,Adult,$65 ,5525,4.7,Spritz lightly on clothing and pulse points for a seductive scent
Fresh Citrus Perfume,Brand G,"Lime, Grapefruit, Bergamot",203,Medium,Energizes and uplifts,28,"Oily, Normal",101,Adult,$50 ,4250,4.6,Apply to pulse points for a refreshing burst of citrus fragrance
Rose Garden Perfume,Brand H,"Rose, Geranium, Musk",203,Medium,Evokes feelings of romance and femininity,15,"Dry, Normal",101,Adult,$55 ,4675,4.7,Spritz on pulse points for a floral and romantic scent
Musk Sensation Perfume,Brand I,"Musk, Amber, Sandalwood",203,Medium,Creates a sensual and alluring aura,6,All,101,Adult,$60 ,5100,4.8,Apply to pulse points for a long-lasting and captivating fragrance
Coconut Paradise Perfume,Brand J,"Coconut, Vanilla, Tropical Flowers",203,Medium,Transporting to a tropical paradise,15,"Dry, Normal",101,Adult,$65 ,5525,4.7,Spritz on clothing and pulse points for a beachy scent
Jasmine Delight Perfume,Brand K,"Jasmine, Gardenia, White Musk",203,Medium,Elevates mood and promotes relaxation,6,All,101,Adult,$55 ,4675,4.6,Apply to pulse points for a floral and uplifting aroma
Spicy Amber Perfume,Brand L,"Amber, Clove, Black Pepper",203,Medium,Adds warmth and sophistication,6,All,101,Adult,$60 ,5100,4.7,Spritz on pulse points for a spicy and elegant fragrance
Eucalyptus Breeze Perfume,Brand M,"Eucalyptus, Mint, Citrus",201,High,Clears the mind and invigorates,28,"Oily, Normal",101,Adult,$50 ,4250,4.6,Apply to pulse points for a refreshing and revitalizing scent
Orchid Bloom Perfume,Brand N,"Orchid, Violet, Musk",201,High,Evokes a sense of luxury and elegance,15,"Dry, Normal",101,Adult,$55 ,4675,4.7,Spritz on pulse points for a sophisticated and floral fragrance
Amber Wood Perfume,Brand O,"Amber, Cedarwood, Sandalwood",201,High,Grounding and comforting,6,All,101,Adult,$60 ,5100,4.8,Apply to pulse points for a warm and woody scent
Bergamot Bliss Perfume,Brand P,"Bergamot, Orange Blossom, Vetiver",201,High,Uplifting and refreshing,28,"Oily, Normal",101,Adult,$50 ,4250,4.6,Spritz on pulse points for a citrusy and invigorating fragrance
Musk Rose Perfume,Brand Q,"Musk, Rose, Patchouli",201,High,Sensual and romantic,15,"Dry, Normal",101,Adult,$55 ,4675,4.7,Apply to pulse points for a sophisticated and floral scent
Green Tea Escape Perfume,Brand R,"Green Tea, Citrus, Jasmine",201,High,Refreshes and revitalizes,6,All,101,Adult,$65 ,5525,4.6,Spritz on clothing and pulse points for an energizing aroma
Patchouli Passion Perfume,Brand S,"Patchouli, Vanilla, Amber",201,High,Stimulates passion and desire,6,All,101,Adult,$60 ,5100,4.7,Apply to pulse points for a seductive and exotic fragrance
Sandalwood Serenity Perfume,Brand T,"Sandalwood, Rosewood, Vanilla",201,High,Calms the mind and promotes relaxation,15,"Dry, Normal",101,Adult,$70 ,5950,4.8,Spritz on pulse points for a serene and comforting scent
Citrus Sunshine Perfume,Brand U,"Citrus, Neroli, Jasmine",201,High,Energizes and uplifts,28,"Oily, Normal",101,Adult,$50 ,4250,4.6,Apply to pulse points for a fresh and revitalizing fragrance
Lily of the Valley Perfume,Brand V,"Lily of the Valley, Musk, Amber",201,High,Delicate and feminine,15,"Dry, Normal",101,Adult,$55 ,4675,4.7,Spritz on pulse points for a light and floral scent
Amber Noir Perfume,Brand W,"Amber, Black Orchid, Patchouli",201,High,Mysterious and seductive,6,All,101,Adult,$60 ,5100,4.8,Apply to pulse points for a rich and intoxicating fragrance
White Musk Perfume,Brand X,"White Musk, Jasmine, Vanilla",201,High,Clean and alluring,6,All,101,Adult,$65 ,5525,4.7,Spritz on pulse points for a soft and sensual aroma
Floral Bouquet Perfume,Brand Y,"Rose, Jasmine, Lily of the Valley",201,High,Floral and romantic,15,"Dry, Normal",101,Adult,$70 ,5950,4.8,Apply to pulse points for a sophisticated and elegant fragrance
Amber Spice Perfume,Brand Z,"Amber, Cinnamon, Sandalwood",201,High,Warm and spicy,6,All,101,Adult,$75 ,6375,4.7,Spritz on pulse points for a sensual and exotic scent
Oceanic Wave Perfume,Brand AA,"Sea Salt, Seaweed, Driftwood",201,High,Refreshing and invigorating,6,All,101,Adult,$80 ,6800,4.8,Apply to pulse points for a fresh and aquatic fragrance
Jasmine Dream Perfume,Brand BB,"Jasmine, White Tea, Musk",201,High,Dreamy and ethereal,6,All,101,Adult,$85 ,7225,4.7,Spritz on pulse points for a romantic and enchanting scent
Vanilla Orchid Perfume,Brand CC,"Vanilla, Orchid, Amber",201,High,Sensual and intoxicating,6,All,101,Adult,$90 ,7650,4.8,Apply to pulse points for a warm and luxurious fragrance
Citrus Zest Perfume,Brand DD,"Lemon, Lime, Orange Blossom",203,Medium,Refreshing and energizing,28,"Oily, Normal",101,Adult,$70 ,5950,4.8,Spritz on pulse points for a zesty and invigorating fragrance
Musk Elegance Perfume,Brand EE,"Musk, Bergamot, Amber",203,Medium,Timeless sophistication,6,All,101,Adult,$75 ,6375,4.7,Apply to pulse points for a refined and elegant scent
Lavender Bliss Perfume,Brand FF,"Lavender, Vanilla, Sandalwood",203,Medium,Calming and comforting,15,"Dry, Normal",101,Adult,$80 ,6800,4.8,Spritz on pulse points for a serene and soothing aroma
Floral Fantasy Perfume,Brand GG,"Jasmine, Gardenia, Lily of the Valley",203,Medium,Delicate and feminine,6,All,101,Adult,$85 ,7225,4.7,Apply to pulse points for a romantic and floral fragrance
Ocean Breeze Perfume,Brand HH,"Sea Salt, Bergamot, Marine Notes",203,Medium,Invigorating and revitalizing,6,All,101,Adult,$90 ,7650,4.8,Spritz on pulse points for a fresh and aquatic scent
Vanilla Dream Perfume,Brand II,"Vanilla, Coconut, Amber",203,Medium,Warm and comforting,15,"Dry, Normal",101,Adult,$95 ,8075,4.7,Apply to pulse points for a cozy and inviting fragrance
Musk Sensation Perfume,Brand JJ,"Musk, Sandalwood, Vanilla",203,Medium,Sensual and intoxicating,6,All,101,Adult,$100 ,8500,4.8,Spritz on pulse points for a seductive and alluring scent
Coconut Paradise Perfume,Brand KK,"Coconut, Pineapple, Tropical Flowers",203,Medium,Transportive and exotic,15,"Dry, Normal",101,Adult,$105 ,8925,4.7,Apply to pulse points for a tropical and beachy fragrance
Jasmine Delight Perfume,Brand LL,"Jasmine, Neroli, White Musk",203,Medium,Uplifting and luxurious,6,All,101,Adult,$110 ,9350,4.8,Spritz on pulse points for a luxurious and indulgent scent
Exotic Spice Perfume,Brand MM,"Patchouli, Vanilla, Cinnamon",203,Medium,Rich and mysterious,6,All,101,Adult,$115 ,9775,4.7,Apply to pulse points for a captivating and exotic aroma
Fresh Citrus Perfume,Brand NN,"Grapefruit, Mandarin, Lemon",203,Medium,Revitalizing and invigorating,28,"Oily, Normal",101,Adult,$120 ,10200,4.8,Spritz on pulse points for a refreshing burst of citrus
Rose Garden Perfume,Brand OO,"Rose, Peony, Amber",203,Medium,Romantic and enchanting,15,"Dry, Normal",101,Adult,$125 ,10625,4.7,Apply to pulse points for a floral and timeless fragrance
Amber Wood Perfume,Brand PP,"Amber, Vetiver, Cedarwood",203,Medium,Earthy and grounding,6,All,101,Adult,$130 ,11050,4.8,Spritz on pulse points for a warm and woody aroma
Bergamot Bliss Perfume,Brand QQ,"Bergamot, Jasmine, Musk",203,Medium,Uplifting and refreshing,28,"Oily, Normal",101,Adult,$135 ,11475,4.7,Apply to pulse points for a citrusy and euphoric scent
Orchid Bloom Perfume,Brand RR,"Orchid, Violet, Amber",203,Medium,Elegant and sophisticated,15,"Dry, Normal",101,Adult,$140 ,11900,4.8,Spritz on pulse points for a refined and floral fragrance
Amber Spice Perfume,Brand SS,"Amber, Vanilla, Cinnamon",203,Medium,Warm and exotic,6,All,101,Adult,$145 ,12325,4.7,Apply to pulse points for a sensual and spicy aroma
Eucalyptus Breeze Perfume,Brand TT,"Eucalyptus, Lemon, Mint",203,Medium,Refreshing and invigorating,28,"Oily, Normal",101,Adult,$150 ,12750,4.8,Spritz on pulse points for a revitalizing and crisp fragrance
Vanilla Orchid Perfume,Brand UU,"Vanilla, Orchid, Amber",203,Medium,Sensual and captivating,6,All,101,Adult,$155 ,13175,4.7,Apply to pulse points for a warm and luxurious scent
Lily of the Valley Perfume,Brand VV,"Lily of the Valley, Green Leaves, Musk",203,Medium,Fresh and delicate,15,"Dry, Normal",101,Adult,$160 ,13600,4.8,Spritz on pulse points for a light and floral fragrance
Amber Noir Perfume,Brand WW,"Amber, Patchouli, Vanilla",203,Medium,Mysterious and seductive,6,All,101,Adult,$165 ,14025,4.7,Apply to pulse points for an intoxicating and rich aroma
White Musk Perfume,Brand XX,"White Musk, Sandalwood, Musk",203,Medium,Clean and comforting,6,All,101,Adult,$170 ,14450,4.8,Spritz on pulse points for a soft and alluring scent
Floral Bouquet Perfume,Brand YY,"Rose, Jasmine, Gardenia",203,Medium,Floral and romantic,15,"Dry, Normal",101,Adult,$175 ,14875,4.7,Apply to pulse points for a sophisticated and elegant scent
Oceanic Wave Perfume,Brand ZZ,"Sea Salt, Marine Breeze, Driftwood",203,Medium,Refreshing and invigorating,6,All,101,Adult,$180 ,15300,4.8,Spritz on pulse points for a fresh and aquatic fragrance
Jasmine Dream Perfume,Brand AAA,"Jasmine, Vanilla, Sandalwood",203,Medium,Dreamy and ethereal,6,All,101,Adult,$185 ,15725,4.7,Apply to pulse points for a romantic and enchanting scent
Citrus Sunshine Perfume,Brand BBB,"Citrus, Grapefruit, Orange Blossom",203,Medium,Energizing and revitalizing,28,"Oily, Normal",101,Adult,$190 ,16150,4.8,Spritz on pulse points for a fresh and zesty fragrance
Musk Rose Perfume,Brand CCC,"Musk, Rose, Vanilla",203,Medium,Sensual and romantic,15,"Dry, Normal",101,Adult,$195 ,16575,4.7,Apply to pulse points for a sophisticated and floral scent
Amber Rose Perfume,Brand DDD,"Amber, Rose, Patchouli",203,Medium,Warm and inviting,6,All,101,Adult,$200 ,17000,4.8,Spritz on pulse points for a rich and romantic aroma
Floral Fantasy Perfume,Brand EEE,"Jasmine, Gardenia, Musk",203,Medium,Delicate and feminine,6,All,101,Adult,$205 ,17425,4.7,Apply to pulse points for a romantic and floral fragrance
Citrus Splash Perfume,Brand FFF,"Orange, Lemon, Lime",203,Medium,Refreshing and uplifting,28,"Oily, Normal",101,Adult,$210 ,17850,4.7,Spritz on pulse points for a burst of citrus freshness
Musk Harmony Perfume,Brand GGG,"Musk, Bergamot, Rose",203,Medium,Harmonizing and balancing,6,All,101,Adult,$215 ,18275,4.8,Apply to pulse points for a balanced and serene scent
Ocean Breeze Perfume,Brand HHH,"Sea Salt, Marine Notes, Bergamot",203,Medium,Invigorating and revitalizing,6,All,101,Adult,$220 ,18700,4.7,Spritz on pulse points for a fresh and revitalizing aroma
Vanilla Delight Perfume,Brand III,"Vanilla, Coconut, Almond",203,Medium,Comforting and indulgent,15,"Dry, Normal",101,Adult,$225 ,19125,4.8,Apply to pulse points for a sweet and comforting fragrance
Lavender Escape Perfume,Brand JJJ,"Lavender, Chamomile, Vanilla",203,Medium,Calming and soothing,15,"Dry, Normal",101,Adult,$230 ,19550,4.7,Spritz on pulse points for a relaxing and tranquil aroma
Spicy Sensation Perfume,Brand KKK,"Black Pepper, Cardamom, Cinnamon",203,Medium,Invigorating and warming,6,All,101,Adult,$235 ,19975,4.8,Apply to pulse points for a spicy and stimulating scent
Citrus Fusion Perfume,Brand LLL,"Grapefruit, Orange Blossom, Vetiver",203,Medium,Energizing and uplifting,28,"Oily, Normal",101,Adult,$240 ,20400,4.7,Spritz on pulse points for a vibrant and citrusy fragrance
Rose Romance Perfume,Brand MMM,"Rose, Peony, Musk",203,Medium,Romantic and captivating,6,All,101,Adult,$245 ,20825,4.8,Apply to pulse points for a floral and enchanting aroma
Amber Glow Perfume,Brand NNN,"Amber, Vanilla, Sandalwood",203,Medium,Warm and sensual,6,All,101,Adult,$250 ,21250,4.7,Spritz on pulse points for a glowing and alluring fragrance
Jasmine Whispers Perfume,Brand OOO,"Jasmine, Lily of the Valley, Musk",203,Medium,Whispering and ethereal,6,All,101,Adult,$255 ,21675,4.8,Apply to pulse points for a delicate and romantic scent
Exotic Spice Perfume,Brand PPP,"Patchouli, Cinnamon, Vanilla",203,Medium,Spicy and exotic,6,All,101,Adult,$260 ,22100,4.7,Spritz on pulse points for a captivating and mysterious aroma
Tropical Paradise Perfume,Brand QQQ,"Coconut, Pineapple, Mango",203,Medium,Transportive and exotic,15,"Dry, Normal",101,Adult,$265 ,22525,4.8,Apply to pulse points for a tropical and fruity fragrance
Floral Symphony Perfume,Brand RRR,"Rose, Jasmine, Orchid",203,Medium,Harmonious and elegant,15,"Dry, Normal",101,Adult,$270 ,22950,4.7,Spritz on pulse points for a symphony of floral notes
Citrus Zing Perfume,Brand SSS,"Lemon, Lime, Grapefruit",203,Medium,Zesty and refreshing,28,"Oily, Normal",101,Adult,$275 ,23375,4.8,Apply to pulse points for a burst of citrus energy
Musk Embrace Perfume,Brand TTT,"Musk, Amber, Patchouli",203,Medium,Sensual and comforting,6,All,101,Adult,$280 ,23800,4.7,Spritz on pulse points for a warm and embracing scent
Lavender Serenity Perfume,Brand UUU,"Lavender, Vanilla, Sandalwood",203,Medium,Serene and tranquil,15,"Dry, Normal",101,Adult,$285 ,24225,4.8,Apply to pulse points for a calming and peaceful aroma
Floral Fantasy Perfume,Brand VVV,"Jasmine, Lily of the Valley, Musk",203,Medium,Delicate and romantic,6,All,101,Adult,$290 ,24650,4.7,Spritz on pulse points for a romantic and floral fragrance
Ocean Breeze Perfume,Brand WWW,"Sea Salt, Marine Breeze, Driftwood",203,Medium,Refreshing and invigorating,6,All,101,Adult,$295 ,25075,4.8,Apply to pulse points for a fresh and aquatic scent
Vanilla Dream Perfume,Brand XXX,"Vanilla, Coconut, Almond",203,Medium,Comforting and indulgent,15,"Dry, Normal",101,Adult,$300 ,25500,4.7,Spritz on pulse points for a sweet and comforting fragrance
Musk Sensation Perfume,Brand YYY,"Musk, Sandalwood, Vanilla",203,Medium,Sensual and intoxicating,6,All,101,Adult,$305 ,25925,4.8,Apply to pulse points for a seductive and alluring scent
Coconut Paradise Perfume,Brand ZZZ,"Coconut, Pineapple, Tropical Flowers",203,Medium,Transportive and exotic,15,"Dry, Normal",101,Adult,$310 ,26350,4.7,Spritz on pulse points for a tropical and beachy fragrance
Jasmine Delight Perfume,Brand AAAA,"Jasmine, Neroli, White Musk",203,Medium,Uplifting and luxurious,6,All,101,Adult,$315 ,26775,4.8,Apply to pulse points for a luxurious and indulgent scent
Exotic Spice Perfume,Brand BBBB,"Patchouli, Vanilla, Cinnamon",203,Medium,Rich and mysterious,6,All,101,Adult,$320 ,27200,4.7,Spritz on pulse points for a captivating and exotic aroma
Fresh Citrus Perfume,Brand CCCC,"Grapefruit, Mandarin, Lemon",203,Medium,Revitalizing and invigorating,28,"Oily, Normal",101,Adult,$325 ,27625,4.8,Apply to pulse points for a refreshing burst of citrus
Rose Garden Perfume,Brand DDDD,"Rose, Peony, Amber",203,Medium,Romantic and enchanting,15,"Dry, Normal",101,Adult,$330 ,28050,4.7,Spritz on pulse points for a floral and timeless fragrance
Amber Wood Perfume,Brand EEEE,"Amber, Vetiver, Cedarwood",203,Medium,Earthy and grounding,6,All,101,Adult,$335 ,28475,4.8,Apply to pulse points for a warm and woody aroma
Bergamot Bliss Perfume,Brand FFFF,"Bergamot, Jasmine, Musk",203,Medium,Uplifting and refreshing,28,"Oily, Normal",101,Adult,$340 ,28900,4.7,Spritz on pulse points for a citrusy and euphoric scent
Orchid Bloom Perfume,Brand GGGG,"Orchid, Violet, Amber",203,Medium,Elegant and sophisticated,15,"Dry, Normal",101,Adult,$345 ,29325,4.8,Apply to pulse points for a refined and floral fragrance
Amber Spice Perfume,Brand HHHH,"Amber, Vanilla, Cinnamon",203,Medium,Warm and exotic,6,All,101,Adult,$350 ,29750,4.7,Spritz on pulse points for a sensual and spicy aroma
Eucalyptus Breeze Perfume,Brand IIII,"Eucalyptus, Lemon, Mint",203,Medium,Refreshing and invigorating,28,"Oily, Normal",101,Adult,$355 ,30175,4.8,Apply to pulse points for a revitalizing and crisp fragrance
Herbal Bliss Hair Oil,Brand AAA,"Coconut Oil, Amla Extract, Bhringraj",203,Medium,Nourishes scalp and promotes hair growth,6,All,101,Adult,$15 ,1275,4.6,Massage into scalp and leave overnight for best results
Argan Radiance Hair Oil,Brand BBB,"Argan Oil, Jojoba Oil, Vitamin E",203,Medium,Adds shine and strengthens hair,6,All,101,Adult,$20 ,1700,4.7,Apply a few drops to damp hair before styling
Rosemary Revive Hair Oil,Brand CCC,"Rosemary Oil, Peppermint Oil, Olive Oil",203,Medium,Stimulates hair growth and improves circulation,6,All,101,Adult,$18 ,1530,4.5,Massage into scalp and leave for 30 minutes before shampooing
Lavender Luxe Hair Oil,Brand DDD,"Lavender Oil, Castor Oil, Almond Oil",203,Medium,Calms scalp and reduces dandruff,6,All,101,Adult,$22 ,1870,4.8,Apply to scalp and leave overnight for deep conditioning
Jasmine Glow Hair Oil,Brand EEE,"Jasmine Oil, Coconut Oil, Argan Oil",203,Medium,Adds fragrance and nourishment,6,All,101,Adult,$25 ,2125,4.6,Massage into scalp and leave for a few hours before washing
Tea Tree Therapy Hair Oil,Brand FFF,"Tea Tree Oil, Coconut Oil, Olive Oil",203,Medium,Soothes scalp and prevents infections,28,"Oily, Normal",101,Adult,$23 ,1955,4.7,Apply to scalp and massage gently before shampooing
